,F1: Superficial,F2/3: Stroma_PPARG+,F2: Universal,F3: FRC-like,F4: DP_HHIP+,F4: DS_DPEP1+,F4: TNN+COCH+,F5: NGFR+,F5: RAMP1+,F6: Inflammatory myofibroblast,F6: Myofibroblast,F7: Fascia-like myofibroblast,F_Fascia
168,EFNA5,PNO1,ANK2,VEGFA,CHD6,RGS22,TMEFF2,RPL32,CARD16,ROBO1,IKBIP,AP2S1,LRRC4C
169,SUMO2,GSPT1,C1QTNF7,NABP1,DGKH,ANKRD50,CAMK2B,MSMO1,MXRA5,COL12A1,FHOD3,NPEPPS,MET
170,CORIN,CDV3,RPS17,MT1E,TNPO1,MTHFR,WNT10A,CRIM1,SLC7A2,SULF2,ADAMTS12,SERINC5,DPYSL3
171,COL1A1,LAMA4,PRKG2,MYC,EMID1,PRDM1,CACHD1,TXNRD1,KMT2E,HECW2,TNFRSF12A,BAX,MTUS1
172,IL16,EIF1B,VASN,C11orf96,ADAMTS18,BHLHE41,PRLR,PTCH1,PCDH20,SSR3,YIF1A,TMED3,BHLHE41
173,RAB11FIP2,SLC2A3,ELANE,RPS26,CTBP2,PDGFRA,HAPLN1,FZD2,SH3BP5,MMP11,P4HB,TAGLN2,FAM49A
174,MT-ND4L,UGDH,PIGT,MT1A,HNRNPH1,APOL4,RBFOX1,HGF,LRFN5,REEP3,TMEM167A,GUK1,COL8A2
175,BGN,COL4A2,OAZ1,NFKBIA,HIST1H2AC,ENHO,AQP1,LINC01500,PIK3R1,NTM,C4orf48,MYL6,AKR1C1
176,SAMD5,PTX3,CPVL,ABCA10,RCN2,VSTM4,EPHA5,EGR3,NHSL2,CPXM1,COL16A1,DST,ABLIM1
177,CLEC11A,NPM1,YBX1,SLCO2B1,RALBP1,MAFB,ZDHHC20,LRRC7,NAALADL2,IKBIP,INHBA,ACSL3,SIPA1L1
178,MASP1,RPL38,OOEP,TMEM173,GLI1,TNS3,MFAP4,RPS18,EFNB1,TNFRSF6B,ALDH1L2,NPC1,SYCE1L
179,WNT5A,ATP13A3,ABCC9,CSGALNACT1,SH2B2,PDS5B,RUNX3,SORBS1,ADD3,NCOR2,AP002954.1,UBTD1,ANGPTL1
180,FGD4,ZFAS1,HSD3B7,PLSCR1,HEXIM1,MPP6,ADGRB3,ADAMTSL5,EGFLAM,APBA2,NKAIN3,SORBS2,LDLRAD4
181,ITIH5,USP53,ANXA4,CFB,ACTR3B,REL,FOXD1,C19orf33,CRLF1,PXDN,PLXNC1,GPX7,PHTF2
182,ACKR4,CEBPZ,ALDH3A2,HLA-E,NSA2,PNRC1,GPC1,PRNP,PLPP3,PARP14,DEC1,SH3PXD2B,RARRES1
183,NTN1,TAF1D,RHOA,NCOA7,APBA2,CEMIP2,RERG,EFNA1,ALDH1A2,TMEM158,ITGB5,YARS,TSPAN2
184,ADGRA2,AGTR1,ITGBL1,NPM1,RBMS2,EIF4A3,MIB1,SYNPO2,SUSD2,GLIS1,GPX7,TES,GRAMD2B
185,MMP2,EPB41L4A-AS1,FGL2,EIF3L,BTG3,TMEM119,PCDH7,CYCS,F3,PKM,FBN1,FIBIN,PDE4D
186,TNXB,SPTBN1,ITIH5,MT1F,HIST1H4C,GLRX5,ADGRE2,FRMD4B,KLF12,FKBP10,A1BG,RYR2,ECM1
187,PLXNA4,CDC42EP4,NTRK2,PPDPFL,AMOTL1,FUS,CACNA2D3,AQP3,ADAMTS12,SND1,SORCS2,TGFB2,COBLL1
188,CP,TFAM,FABP3,NAMPT,RSRC1,KRT17,MDFIC,GUCY1B1,SERPINA5,IL7R,ZNF469,CRIP2,CRYAB
189,SOD3,RPLP0,S100A13,H3F3A,SAT1,CCDC88A,EFCC1,GAB1,FBXL7,PTEN,HMCN2,GLIPR1,SLC43A3
190,PLCB4,RPL22,PLD3,PTGIR,SLC38A2,PLP1,LINC00632,PKDCC,TLN2,PHLDA2,PDE1A,PRDX5,ACAT1
191,DAAM2,BZW1,KLF6,EGR1,HLTF,MCL1,ALX4,EBF1,HOPX,GREM1,COL6A2,MT1X,RCN3
192,C1R,NUFIP2,SORBS1,SLC1A3,INTS6,SNAI2,EFNB2,CLEC1A,KCNIP1,SIPA1L1,TGFB3,ITGAV,SERPINI1
193,HSPB7,UBE2S,NUPR1,COL6A5,PKN2,HNRNPA3,LINC01615,WNT6,COLEC12,TSHZ2,BABAM2,C17orf49,PERP
194,CDON,EIF5,RPL36,SNAI2,NLGN1,ARL5B,PREX2,PTMA,SPTAN1,MYO10,AMPH,CDH13,MARCH1
195,PERP,MIR22HG,VSIR,COX4I2,NTRK3,RSRP1,LRP1B,DOCK9,JUP,DCBLD1,SERF2,CDKN2A,MXRA8
196,CXCL1,HNRNPU,RTN4,DUSP1,PABPC1,FXR1,HTRA1,C1orf54,AP001347.1,SURF4,SH3PXD2B,MET,SSC5D
197,ANKFN1,ADA,ADM,APOD,KIAA0040,SBDS,FN1,MALAT1,WDR86,CLIP2,SERINC5,PDLIM4,ESYT2
198,FAM107A,GNL3,ACKR4,RPS8,ATRX,ARHGAP10,PDGFD,CFH,WNT2,FAM20C,TTYH3,NEDD9,AKAP13
199,KCNQ3,EIF3J,FBN1,MICALL2,TUBB3,IP6K2,THY1,COL9A3,ABCA9,FKBP11,CALU,WDR1,RABAC1
200,TFAP2C,IL6ST,PALM,LPAR1,ZMAT4,SH3BP5,IER2,ISYNA1,ITGA11,FLNA,TNIK,ABI1,ADAMTSL2
201,CRISPLD2,KLF9,ZNF385A,PTPRT,HSPD1,ANP32B,DIRAS3,SLC16A12,ZMAT4,FAM20A,B4GALT2,PEAK1,PPP2R2B
202,RUNX3,ATP1A1,AGAP1,RPS12,ANP32B,TWISTNB,HS3ST3B1,WFDC1,GMFG,BST2,SRM,AGPAT4,FAM180B
203,IL32,PLBD1,AP3S1,NFIB,LAMP5,ZNF711,CALM2,HRH1,ENPEP,CASK,GALNT1,FILIP1,SYN3
204,NFATC2,SLC25A33,FTL,RPS24,FGFR3,MAP1A,GALNT17,SHISA3,BTG2,COL10A1,PPFIBP1,FHL2,C1orf21
205,SEMA5A,NOP56,ARFGEF3,SLC9A3R2,MGAT5,CCNL1,ADGRV1,ABLIM1,TMEM204,POPDC3,KLF12,PDZD2,DLG1
206,TYMP,ABLIM1,PODN,HES1,F2RL2,RBMX,ADAMTS9,LSP1,TFPI,KIFAP3,PDXK,PDLIM1,SERTAD4
207,PRDM1,PPP1R15A,LVRN,RPS23,LDLRAD3,TLE4,SVIP,SYCP2L,MEOX1,CUX1,PLOD1,MAP4,ADCY2
208,HDAC9,GRPEL1,REXO2,GLUL,PHF3,PTGER4,XACT,RPS27,ENG,LINC00511,THBS2,AP2M1,TAGLN
209,SLIT3,GPX3,FEZ1,SAV1,PCM1,EFHD1,VEGFD,PDE3A,LAMB1,C12orf75,PDE7B,MRPL14,COLGALT2
210,OGFRL1,SRSF7,PROS1,JUN,GJC1,SPRED1,LRBA,AKR1C1,CXCL12,LMCD1,CREB3L1,CD151,LINC02511
211,RAB31,RPS20,SMOC2,SASH1,SPEN,NORAD,RARG,DLEU7,EXPH5,NRP1,TPM1,MIF,TMED9
212,KCNK2,IGFBP3,MT-CYB,NFKB2,TUT4,PRDX2,KITLG,GPC1,AL033504.1,CSMD2,COL10A1,RAB13,REXO2
213,AC079298.3,ACSL4,MEDAG,RASL11A,NUFIP2,TEAD1,ANTXR2,HSPA1B,CPXM2,ATOX1,EVL,EVA1A,OCIAD2
214,LINC01344,NRIP1,OMD,C1R,DDX17,VMP1,TEAD1,EFNB1,SERPINB9,FADS1,SMCO4,TPST2,SLC41A2
215,INHBB,TSPYL2,C1QTNF3,LSAMP,SACS,CARD16,FREM1,JUN,ADAMTSL3,RNF144A,CILP2,TENM3,MRC2
216,PRSS12,BAG3,EEF1A1,IL6ST,NAP1L3,TENM3,PTMA,SFRP5,CXCL8,WIPI1,DLG1,SSC5D,CAB39L
217,RCAN2,CXCL3,TMA7,HLA-DPA1,STOM,HSP90AB1,KIAA0040,NEURL1B,TGFBR3,PCBP3,MMP14,AUTS2,P4HB
218,CD44,DNTTIP2,RPL31,RASSF4,PDE9A,PRRX1,TWIST2,PPP1R15A,FRY,BICC1,P4HA1,CFL1,ITM2B
219,PID1,SERPINB9,PLTP,COL4A2,PTH1R,CXCR4,KCTD11,HSPD1,PDS5B,ENOX1,RNF144A,CDC42EP3,CTTN
220,AL031599.1,TMEM100,RPL7,CDC42EP4,HNRNPU,PGF,HSP90AB1,FGFBP2,CPED1,ETS1,CASC15,COL1A2,TMBIM1
221,SERPINE2,ETF1,HSPB8,ADAMTS1,GPC4,MFHAS1,MT-CO3,AC012409.2,GAL,MT1F,NBAS,SIK3,LINC00511
222,F2R,PROCR,RPL12,RASD1,CREBRF,MFAP4,SMOC1,RPL26,FZD7,TRIO,CHSY3,PDLIM5,COL11A1
223,RSPO3,RPL23,HEXB,SCN4B,ODF2L,RPL10,CGNL1,HSPH1,RBMS3-AS3,FN1,ADAMTS14,CD70,MCOLN3
224,THBD,TMEM176B,ACTG1,RAB13,PPP1CB,CHORDC1,TTLL7,SNHG15,ENTPD1,IGFBP4,SYNDIG1,MYO1E,HOXD10
225,ITM2C,TMEM176A,SEMA3D,ABCC3,S100B,LUC7L3,LEF1,N4BP2L2,OAF,SLC1A3,SUGCT,TPI1,BCAT1
226,ITGA1,TRIP10,PAMR1,IL6,LINC00578,PTN,SLC5A3,TIMP1,IL16,LMAN1,PAPSS2,TMEM208,TACC2
227,SHISAL1,PLSCR1,SGCZ,HNMT,PAPPA2,HMGN1,GULP1,SRSF3,SULT1A1,AEBP1,PTK7,SPHK1,MVP
228,PREX1,TNFAIP2,XIST,GREM1,TCF7,DIO2,MFGE8,FOXC2,COLGALT2,EGFL6,PCDH7,IDH2,PDE4DIP
229,FOXQ1,IRF1,THBS1,AVPR1A,AL391807.1,FNBP1,CACNA2D1,ITGA7,CRISPLD2,ITPR2,MIR503HG,PTPN1,ACTG1
230,HS3ST6,TOP1,RPL9,EPHX1,BTG1,DKK3,GPC5,SLC12A2,CADPS2,XAF1,MXD4,DENND4A,CDA
231,MRGPRF,ABCA6,TIMP1,RFTN1,CASC15,CFHR1,ERC2,MTUS1,FTX,COL1A2,GALNT10,ATP6V1A,CDC42BPA
232,FHL1,MCL1,USP53,IL7,FGFR1,PAFAH1B3,EMP2,DOCK5,DUSP6,THY1,MMP16,TGFB1I1,PDK3
233,APELA,TLNRD1,RPL13A,ANKRD10,KCTD1,LOX,H1F0,OMD,FHAD1,P4HA2,TSHZ2,CAVIN3,MKX
234,PTEN,SGCE,CD59,MUSK,PIANP,HSPH1,AGMO,RNASET2,SPTBN1,CBX3,LINC01116,KIF5B,FGF14
235,LDLR,SCARA5,ZFP36L2,FAM107A,PTK7,YME1L1,LRRC15,RPL7,ZBTB7C,IL24,NAV3,TUBB3,FBLN1
236,SNHG18,KLHL21,SLITRK4,COL6A6,PIK3R3,NR2F1,AC007920.2,DKK3,N4BP2L2,GMDS,ERLEC1,LAMTOR1,AFF3
237,DPP7,TNFSF14,C6orf132,CTSS,HEY1,SPEN,GSG1L,LGALS3BP,NRP1,NOX4,OST4,RAP1B,AP000462.1
238,POLR2L,RPL35,PSAP,RPL32,SRSF7,SETX,CNTN4,NPDC1,CHN1,AGPAT4,BACH2,PPIB,PFKP
239,COL21A1,RPS27,RPS25,PRRX1,SLC16A2,FOSL2,KCNJ3,CCL13,IMMP2L,MMP9,ZFHX4,CD109,RABGAP1L
240,SCARF2,MT-ND4,MYC,RPS27A,NCL,HNRNPH1,H3F3A,PTMS,TSPAN5,SNTB1,AK1,ZCCHC14,KDELR3
241,SPARC,PNRC2,CD248,SELENOP,SLC27A6,VGLL4,F3,CLK1,TSKU,STEAP1,PDLIM7,MANF,NCAM1
242,BRI3,ARC,PCBD1,RPL35,PCDH19,FOXO3,CFD,USP54,IGFBP6,SDK1,SCARF2,KIF13B,TRIO
243,NFATC4,UGCG,ADD3,NFIL3,CDH7,EIF3L,TNFRSF25,BTG1,THSD7A,COL24A1,C7orf50,ADAMTS14,YWHAH
244,PHACTR2,HNRNPA1,LRRN4CL,DYNC2LI1,SMAGP,PLEKHH2,COL1A1,HSPA1A,NRXN3,RORA,RAB2A,CAP1,MBOAT1
245,GRK3,SNHG8,TRIP10,FKBP1A,DPY19L2,FAM133B,RPS4X,PLK5,KLF2,CLEC11A,FBXL7,ABHD2,KERA
246,GRIA4,ZBTB7A,C15orf61,CD200R1,PDS5B,ARGLU1,PNISR,ABCA6,CD4,NHS,PTGER3,TANC1,ARHGAP1
247,COL15A1,TOMM40,CREB5,HLA-DRB5,BRD2,DCP2,S1PR1,SPRY2,RYR3,ANPEP,RUNX1,FERMT2,SUN2
248,SBDS,RAB21,TMSB10,IL1R1,EIF4A1,STON2,EZR,AC099560.1,DTX1,FBXO32,VSNL1,PTK2,EMP2
249,HMOX1,NOP53,CAPN2,EEF1B2,GADD45G,CHD3,MAFA,EPDR1,DKK2,P3H1,TMEM263,FAT3,MYDGF
250,FARP1,PABPC4,PAK3,RPS28,ZNF503,LTC4S,JAM2,AFAP1L2,HS3ST3A1,CXCL5,ATP10A,ID2,SOBP
251,CD109,VIT,MARCH2,TXNIP,RPS4X,NCL,HMGB1,DUSP5,SGCE,UQCC2,UBE2E2,LRRC15,AC105942.1
252,MIR4435-2HG,HNRNPF,ZNF385D,RPL14,TOMM20,ZFYVE16,FLNB,NQO1,CLMN,TMEM119,NID2,PLAUR,ANKRD28
253,SGCA,KPNA2,ARL2,RPL29,ERF,PLCG2,SYTL2,RPS3,CBFA2T2,SPATA13,HDLBP,ITPRIP,UBE2E2
254,TLE4,ABCA10,RECK,CEBPB,CBX4,MORC3,RNF152,STARD13,CHD9,SRPX2,SSC5D,BMPR1B,LTBP3
255,ENPP2,PA2G4,LGALS1,RPL18,RBFOX1,PPP1R10,TSPAN18,EIF1,DEFB124,RFX8,C1orf122,DPT,FNIP2
256,EMX2OS,MT-ND1,CCNI,TRIM47,COL11A1,SF1,BCHE,PDE5A,OSR1,LTBP2,NUCB2,PPIC,CAPZB
257,CDH13,GEM,SERPING1,RPL26,N4BP2L2,PHF3,CYYR1,ANKS1B,PRKN,EIF4EBP1,APBB2,MCRIP1,VOPP1
258,COL16A1,ATF3,EIF1,RGS22,ING1,ZFAS1,PCSK9,SLCO1C1,FER,MAGED1,TMEM208,SCX,STEAP1
259,FREM1,HGF,TOMM7,RPL6,NAP1L1,TRIL,ABCA6,CITED2,EPHX2,ANKRD28,PDE4D,RAB2A,CASC15
260,LBH,COTL1,RPL37A,NOTCH3,SYF2,HES4,MT-ND4,RPL31,KIAA0040,CXCL13,ALPK2,ARHGDIA,NREP
261,ADGRE5,ARHGAP26,ATOH8,ANKRD29,CACHD1,ING1,LIX1,FER,ENOX1,MCC,BCAT1,LINC01048,NPC1
262,PNRC1,EIF4A2,CPB1,COX6C,RPL36A,AC110023.1,DYNC2H1,SAT1,CHRDL1,FMO1,FP236383.3,PHTF2,PPP2R3A
263,SOD2,GPATCH4,TMEM237,CRB2,SF3B1,IRS2,MAST4,ARL13B,NR4A2,EIF4G3,AC099066.2,SMIM29,RNF130
264,SH3D19,RAMP2,CSTB,WTAP,NASP,FBXO32,EPS15,AC087477.2,WDFY2,RARRES2,EPHB2,MVP,LHFPL2
265,LPAR1,PLK2,FKBP9,FOS,FAM133A,PNISR,NR3C2,ALKBH1,GRIK1,DEC1,ARHGAP1,HRH1,SMIM14
266,KAZN,PNPLA8,SELENOM,CD82,SLC3A2,GPR153,TRIB2,BHLHE40,LAPTM4A,PDE4DIP,SUPT3H,DENND5A,ZNF704
267,TMEM176B,FKBP4,RPL21,ATF3,ZNF711,TMEM47,PTN,HSP90AA1,SASH1,KLHL5,VEPH1,PDE4DIP,LINC00702
268,MT-ND4,DCLK1,AHNAK,RASSF5,TBC1D4,SUMO2,IL20RB,DCX,EPS8,FAT1,LOXL2,CKLF,AHI1
269,IL6ST,MTRNR2L8,ANXA1,EPAS1,TMEFF1,RGMA,SUSD2,DDIT4L,TMEM119,TNIP1,LMO7,TTYH3,DYNLT1
270,CYTOR,ADH1B,PERP,GADD45A,ARHGEF28,THAP9-AS1,TSPAN7,ATP1A2,CRYBG3,CPM,NOX4,NTM,SERPINF1
271,SLC6A6,SLC25A5,ADAMTSL4,ADAMTS4,KMT2A,NSA2,WNK2,EGR2,TEAD1,PTPRK,BBOX1-AS1,FAM114A1,SOX6
272,ESRRG,LARP4,MT-CO2,ABCA6,JUND,DDAH1,RARB,RPS6,RASA2,CALU,PDIA5,UQCR11,NEDD4
273,ARSG,TCP1,RPS14,APOL6,EIF5,VIPR2,MALAT1,RPS15,FGF10-AS1,MAPKAPK2,ISOC2,ANTXR1,GBP2
274,AP1S2,NOP58,FXYD1,AC005237.1,CNTNAP4,SNHG7,PLXNA2,TLE2,SLC6A4,PRELID1,ARPC1B,AP000462.1,OSBPL9
275,MRPS22,SLC19A2,LY6E,LGALS3,RBMX,TSPAN18,RGN,CALCRL,EPHX1,PKIG,GCNT1,RASAL2,DYNC1I2
276,SMIM3,ST3GAL1,PARD3B,P2RY14,OTUD7A,NTRK3,KIF26B,PAWR,ECHDC2,TAPBP,AL138828.1,PFN1,MYO1E
277,CDC14B,METRNL,PAM,SLC9A9,NKTR,MTRNR2L12,VAV3,LINC01088,NR4A1,PLOD1,LRRC17,FMNL3,PDGFA
278,XPC,IL33,RPS29,RPL34,RPL10A,ABCA10,NTNG1,TPD52,ARHGAP42,GK,IGFBP3,POMP,BAMBI
279,SLC1A2,TRIM8,HRCT1,RPL35A,WNT6,MAGI1,PER3,IFITM3,UNC5B,ARPC1B,NEDD4,MARCKSL1,ITGA8
280,MYO1D,VMP1,CAPG,COL4A1,MGME1,FLRT3,RFTN2,GLI1,PTPRM,KIAA1549L,ALDH18A1,ATP6V0B,MEGF6
281,ID3,HES1,HS6ST3,CDKN1A,STAG2,NBEA,ADRA1B,MFAP5,LHFPL2,IFI27,LRRN3,DUSP10,LXN
282,INPP4B,SERPINA5,EMP3,STOM,MFAP5,DNAJA1,RAX,GAB2,LDLRAD4,SEC31A,IDH2,ATOX1,AL109930.1
283,NFIX,TXNRD1,MSX1,HLA-C,RPL37,PCF11,CASK,CRISPLD1,FMO3,P4HB,CCDC80,VSNL1,CHD9
284,H3F3A,DCAF13,SNCA,APOL3,KDM5B,LIMCH1,BCL2,CDC42EP2,KLHL29,MSANTD3,MRPS6,RICTOR,AC099560.1
285,SNAI1,SLC20A1,EMX2,PRSS12,FXR1,CALD1,NEXMIF,FAM162B,GPC3,TGFB3,TRIM59,PPP3CC,CD109
286,ADAM33,RPL24,RPLP2,PFDN5,MT-ND5,RPS4Y1,KAT6B,CYTH3,GDF10,TUT7,UNC5C,ANO1,STXBP6
287,HMGN3,CAMK2N1,CD151,CST3,ARHGAP44,GPRC5B,SLITRK3,THSD1,AGBL4,LINC01705,OSBPL10,ITGA5,LIMCH1
288,NR4A1,HMOX1,ASIP,ZFAS1,PLEKHH2,EPHA3,MACROD2,NR4A2,KLF5,BCAT1,MLEC,PART1,PTGFRN
289,KIAA0930,HSPA9,AHNAK2,TMEM205,CCNB1IP1,WSB1,MTUS2,RPS27A,KANK2,CADPS2,PMEPA1,ANAPC11,SULF2
290,GALNTL6,STEAP4,CA12,FAM13C,PAX1,CDKN2D,EPS8,RPL8,ACP5,GRIA3,GALNT2,TREM1,ZNF438
291,HOXC10,PFDN2,ALDH1A1,IFNGR1,DDX3X,SLC26A7,TOB1,RBKS,COBL,ANKRD10,MGST3,RAB11A,HAPLN3
292,AHNAK,KLF4,AXL,ZEB2,FAT1,CCDC3,GRP,FMO1,CAPN11,MSX2,GLT8D2,PDE4D,A4GALT
293,NRCAM,OAF,SGCG,LGALS3BP,AC092958.1,NTRK2,SLC44A1,MARCKSL1,NID1,A1BG,SEC61B,MYO9B,FRZB
294,CD302,WTAP,MRPL23,STAT3,BAZ2B,ATRX,LRP11,CPO,AL109930.1,VGLL4,PXDN,AC005920.2,AKR1A1
295,TLE1,HIPK3,PLP2,ACHE,HNRNPDL,ABCA8,MLLT3,AC104051.2,AFAP1L2,VMP1,SEC24D,GLIPR2,STK38L
296,SVEP1,PODN,FGFBP2,PARP14,CHD4,CALCRL,FAM107B,KLF12,DANT2,PTK2,GJA1,TMCO3,PSTPIP1
297,CLEC2B,RBMX,SVBP,DEPTOR,WDR86,PBX1,IER5L,PCDH19,GAS7,PFKFB3,SNX24,MICAL2,TMEM108
298,GRIA3,IL1RL1,IGSF10,HIGD2A,MXI1,BAZ2B,SRSF5,RPL10A,ENTPD1-AS1,ABRACL,MYO1E,LYVE1,ZBTB7C
299,IFI6,HNRNPA2B1,DKK1,MFHAS1,VEGFA,TENT5A,NTRK2,DDIT4,SUN1,TNS3,MYDGF,SHISA4,RNF13
300,BDKRB2,LONRF3,TNFAIP2,PLA2G4C,UTRN,BOD1L1,RAPGEF3,PCDH8,CCDC186,LAMP5,DNM3OS,ACTG1,DOCK11
301,LEPROT,ZFP36L2,MTRNR2L12,CLIC2,PNISR,PPM1K,SPON1,PTHLH,TUSC3,COL16A1,EML1,FRMD5,ANXA11
302,IRS2,ZC3HAV1,RETREG1,CHST11,SNHG7,ZBTB10,TNNC1,STMN1,CD200,CD2AP,KRT1,TAX1BP3,NTN1
303,MYO1B,TIPARP,MTSS1,ALDOA,YTHDC1,NOTCH3,MERTK,MYBPC1,MIR99AHG,COTL1,EGFL6,CDK14,INHBA
304,RPL10,RPL21,BIN1,LPAR4,SINHCAF,KLF10,AC092422.1,PTGES3,FGF12,ARHGAP42,ANOS1,DEC1,ARSB
305,CD47,CYP1B1,YWHAH,TNFSF14,EP300,ST13,PDE7B,GFRA2,PDE5A,PSMB8,DYNLT1,DIP2C,FOXO1
306,NUDT4,IPMK,RPL27,RPL13,NORAD,TMOD3,MDGA2,SIPA1L1,SPRY4,PDE4D,CDK2AP1,HIPK2,AKT3
307,FRMD6,MRPL32,RPS20,PLPP3,MAF,PTP4A2,CCNG2,THSD7B,PLPPR4,ROR2,MYH10,LRRC4C,SYNPO
308,F2RL2,FGF10,FSTL1,RPS3A,EGFLAM,FNBP1L,NEO1,MAPK10,AP001528.1,C15orf48,AP3B1,FIBP,ALDH1A1
309,ATOH8,AKAP12,CLEC3B,CXCL9,TLE3,RAB21,PDE4B,ZBTB7C,ITPR3,TMEM132A,SLC35F4,MYO5A,MIR99AHG
310,COX6C,CHORDC1,MAPT,DIO3OS,LBR,PPP1CB,MMP16,RPL41,TENM1,PPIB,WNT2,SRPK2,DLEU2
311,CTSZ,NGFR,SPOCK1,CDON,ZFAND5,LGR4,JAKMIP2,KIAA1755,PLA2R1,RNF213,FAM229B,ASAP1,MAGI2
312,LAMA2,CREM,ROBO2,SH3KBP1,DAPK1,ID4,AZIN2,PTPN5,VWA1,TGFB1,RCN1,JTB,EYA4
313,FADS1,STMN2,TUBB,SELENBP1,RAP1GAP2,SPON1,SSBP2,EPHA3,TSHZ3,TAP2,DNAH12,EMC10,RNF144A
314,RORB,ARL13B,PCNX2,RPL18A,RBM39,KCNQ1OT1,ROR2,SOX8,LONRF2,MRC2,CDK14,MAP4K4,CYB5R3
315,METTL7A,ATXN7,EMX2OS,C1RL-AS1,CHRNA7,KMT2E,SEMA3G,TRIB2,ABI2,CERCAM,ETV6,CTTNBP2,CACNA1C
316,MT-ATP8,TXN,TSPO,CCDC71L,LYN,NOLC1,TWIST1,SULT1A1,MRPS6,MACF1,MICAL2,TRAPPC1,PLEKHA1
317,RGS6,INTS6,CRYL1,PIM3,AGT,SHOX2,ADGRL2,DEPP1,ANKS1B,RGS3,NR2F1-AS1,FOSL1,STARD9
318,BCOR,TGFBR2,MITF,RPL9,GMFG,FAT1,TMEM158,PKP4,PARPBP,METRN,PAWR,ILK,TMED2
319,NFIL3,RPL9,MBP,RPL3,CERS6,ADAMTS9-AS2,SMCO4,PLEKHB1,DYNC2H1,FRMD6,AC092069.1,AEBP2,TNXB
320,FZD10,RPS25,MMP27,NACA,PSTPIP2,CBX4,PODNL1,FOXD2,ADAMTSL5,ZFAND3,CHN1,IER3IP1,ZNF385D
321,IL15,SLIT2,ESR1,MYCBP2,PURA,ETS2,PRDM8,FLRT3,LRRK2,DNAJC1,OPCML,KDM5B,SNX25
322,RAPH1,EPAS1,NBL1,STAT1,RPS3A,LRCH1,ARNT,CCR10,FMO1,FBLIM1,SNAP25,RAB1A,ECM2
323,ID2,FLRT2,SP5,PLA2G2A,STAT3,EEF1B2,HNRNPA3,TSPYL2,RHOJ,HDLBP,IFT20,CMIP,ANXA7
324,KLF9,HSP90AB1,NFIB,SLCO3A1,DIO3,HELB,CACNA2D2,PDS5B,PNISR,CRISPLD2,PLXNA2,ITGA8,RARG
325,GADD45A,PTGS2,APBB1IP,CCL8,TWSG1,EZR,MT-ND3,RPL23A,GAMT,WNT2,RABAC1,PPP1CA,ATP2B4
326,TSPAN4,MAFG,RHOB,SELENOM,TANC1,GADD45A,REEP5,SOX6,GAB2,LRRFIP1,FARP1,MEG3,C2
327,GPR176,SRGAP1,CLIC1,RPS3,MARCKSL1,BCL11A,RGS11,CAPN6,EDNRB,EVA1B,AC015923.1,ITM2C,ILK
328,GNAI1,MT-ATP6,CYP4B1,RPL41,MAGI1,CHN1,MT-CO1,FGL2,TNFAIP2,IFITM3,CDC42EP5,PGAM1,ATP6V1E1
329,SEMA3D,NCL,RPS6,IFI27,SPARCL1,SOX18,TLE4,TJP1,AK5,MYO1D,CGREF1,GAPDH,CRY2
330,MCOLN3,FBL,IL17D,REV3L,PPP1R10,CAMSAP2,PLEKHA1,RPL24,AFDN,RASGEF1B,PDGFRL,S100A11,PLEKHA5
331,CD81,ZNF800,GLRB,RPL30,BCAR3,CTNNAL1,RPL10,CHRDL1,FP236383.3,STXBP5,SPARCL1,ERBIN,AC245297.3
332,ECM2,RPL37,PDGFD,LINC00640,PLEKHF2,DHX36,EHBP1,FGF13,AC110023.1,LINGO1,AL109930.1,OLFML2B,NUPR1
333,REV3L,CACNB4,GUSB,RPS18,ITGA1,CHD1,RPS6KA5,CTNNA3,GRAMD2B,UQCRC1,JCAD,CNN1,NGEF
334,KCTD12,SPRY1,FKBP8,VWA5A,PAFAH1B1,SRSF3,SLC1A6,JAG1,LDOC1,DDR2,TMEM117,EMP3,TMOD1
335,SYTL2,NFKBIA,WIF1,HAS2-AS1,RFLNB,ARHGAP44,PLD5,GAREM1,AXL,UQCR10,EPHA3,LPCAT2,DIXDC1
336,FTO,IFRD1,SLC25A6,LURAP1L,NR2F1,TSC22D1,AKAP6,DOCK6,LTC4S,RSRC1,PDE4DIP,GPX8,AXL
337,LINC02223,RHOU,IL18,ARID5B,RPS2,RBM25,DNM3,LMO7,PLCE1,RNF145,TMED3,HIVEP2,CTSA
338,RNF217,PDE5A,PCSK5,PGM5,PCMTD1,UQCRB,ANGPTL2,FGF1,DKK3,PIK3R3,CASK,PSMD8,MRGPRF
339,HOXB-AS3,PNP,MCUB,MSC-AS1,ZNF618,GTF2I,ABHD3,BAMBI,FGF10,NPAS2,MDFIC,BSG,RAI14
340,WNT11,ADAMTS1,AL603840.1,RRAD,FAIM,SLIT2,CRYM,TAF7,PDE4DIP,RBPMS,SEC23A,TDRP,NPC2
341,HIBADH,GLA,CELF2,RPL24,ID1,HES1,COL1A2,CDK2AP2,PLAGL1,LOXL1,PBX3,CKAP4,DIP2C
342,AC009093.2,PLAU,FAM180A,ATP5MF,CEBPB,GNB4,FBP1,KLHL29,P2RY14,HAPLN3,TNFRSF9,GNB1,PGM2L1
343,ZBTB16,RPS6KA3,OLFML3,CRLF1,H1F0,EIF5,GAD1,RPL15,PREX1,NR2F1-AS1,ASAP1,NDUFS5,NEK10
